,time,Bx,By,Bz,speed,Vx,Vy,Vz,density,dst
0,1067403600,4.22,7.05,-25.91,749.9,-748.5,16.9,43.7,7.35,-368
1,1067403660,4.92,7.34,-25.68,749.5,-747.1,31.3,51.5,7.61,-374
2,1067403720,4.94,7.24,-25.68,749.5,-747.1,31.3,51.5,7.61,-374
3,1067403780,5.08,7.04,-25.66,749.5,-747.1,31.3,51.5,7.61,-374
4,1067403840,5.21,7.28,-25.6,749.5,-747.1,31.3,51.5,7.61,-374
5,1067403900,4.94,7.57,-25.54,750.7,-749.3,17.1,42.5,7.53,-374
6,1067403960,4.83,7.51,-25.54,750.7,-749.3,17.1,42.5,7.53,-374
7,1067404020,4.83,7.47,-25.54,750.7,-749.3,17.1,42.5,7.53,-374
8,1067404080,4.71,7.69,-25.46,751,-749.7,11.1,42.8,7.4,-374
9,1067404140,4.56,8.18,-25.15,751,-749.7,11.1,42.8,7.4,-374
10,1067404200,4.2,8.03,-25.23,751,-749.7,11.1,42.8,7.4,-374
11,1067404260,4.33,7.33,-25.38,748.2,-746.5,18,46.9,7.41,-374
12,1067404320,4.01,6.19,-25.67,748.2,-746.5,18,46.9,7.41,-374
13,1067404380,2.71,5.87,-26,735.4,-732.1,37.5,59,6.6,-374
14,1067404440,4.02,6.43,-25.73,735.4,-732.1,37.5,59,6.6,-374
15,1067404500,4.26,6.45,-25.73,734.8,-731.3,38.6,60.2,5.64,-374
16,1067404560,4.19,6.73,-25.7,734.8,-731.3,38.6,60.2,5.64,-374
17,1067404620,4.36,7.43,-25.47,734.8,-731.3,38.6,60.2,5.64,-374
18,1067404680,4.37,7.3,-25.5,734.5,-731.2,36.6,59.4,5,-374
19,1067404740,3.33,7.2,-25.67,735,-731.7,36.6,58.9,5.05,-374
20,1067404800,4.2,7.27,-25.45,736.5,-733.3,36.5,57.6,5.19,-374
21,1067404860,4.61,7.35,-25.29,737.4,-734.3,35.9,57.2,5.52,-374
22,1067404920,5.15,7.05,-25.32,737.4,-734.3,35.9,57.2,5.52,-374
23,1067404980,5.46,7.06,-25.24,743.6,-741.8,35.5,38.2,6.22,-374
