Transformer,0 A,10 A,20 A,40 A,50 A,100 A,200 A
T1,0,35.1,44.8,48.9,50.7,52.2,55.3
T2,0,25.6,39.5,46.6,48.2,52.2,54.8
T3,0,17.1,28.2,37.9,39.8,43.3,47.6
T4,0,1,19.8,43,45.6,49.9,53.6
T5,0,1.6,23.1,40.4,42.5,46.5,52.2
T6,0,20,32.2,40.9,42.1,46.3,47.8
T7,0,12.6,22.8,35.5,38.9,44,48.6
T8,0,19.7,32.2,42.1,44.2,48.1,52.2
T9,0,23.9,36.2,42.6,44,47.4,49
T10,0,22.1,36.3,43.2,45.1,48,50.1
T11,0,33.3,41.9,46,47.2,49.2,51.3
T12,0,31.4,41.7,46.6,48,50.5,53.1
T13,0,22.7,35.8,44.6,46.3,51,53.4
T14,0,30.6,38.5,42.2,44.2,45.2,47.1
T15,0,24.5,35.1,39.6,40.6,43.1,45.8
T16,0,21.7,33.5,38.9,40.3,42.9,46.5
T17,0,25.6,34.1,37.9,38.7,42.4,43.8
T18,0,0,0.3,13.9,24.3,37.7,42.1
T19,0,0.1,6.9,38.8,41.9,47.1,51.9
T20,0,8.9,16.8,27.7,31.1,36.7,40.1
T21,0,13.1,23.4,37.8,41.8,48.1,51.6
T22,0,16.7,30,37.4,38.7,42.7,44.6
T23,0,14.2,25.2,35.9,37.8,42.3,45
T24,0,35.5,38.4,41.8,45.7,46.6,53.1
T25,0,31.2,37.1,40.6,41.3,42.7,47.5
T26,0,0,4.9,31.2,33.7,37.3,37.6
T27,0,0.3,9.1,30.9,35.5,40.5,45.2
T28,0,2.7,22.7,33.2,34.2,36.5,38.7
T29,0,8.3,15.8,27.4,31.5,37.5,41.8
T30,0,22.3,35.8,44.4,46.1,50.5,53.1
T31,0,16.5,30.1,42,44,47.9,51.5
T32,0,14.4,26,39.1,41.1,45.8,48.7
T33,0,25.3,37.5,42.9,44.6,46.9,51.3
T34,0,30.2,39.5,43.9,44.9,48.7,49.9
T35,0,18.8,30.6,36.6,37.9,40.6,43.3
T36,0,19.7,39,44.8,46.9,49.3,51.3
T37,0,0.1,0.2,5.4,12.4,43,51.4
T38,0,0,0,3.5,12.7,37.7,43.5
T39,0,13,24.6,40.6,45.1,52.3,57.5
T40,0,4.2,10.8,21.2,25.8,40.8,47.4
T41,0,12.7,24.3,35,36.4,39.9,43.3
T42,0,10.9,20.3,34,36.8,42.2,44.6
