time,Bx,By,Bz,
2003-10-30 18:29:00.000,14848.60,1570.70,49656.10,
2003-10-30 18:30:00.000,14808.20,1577.00,49668.80,
2003-10-30 18:31:00.000,14847.00,1601.90,49701.10,
2003-10-30 18:32:00.000,14899.70,1618.40,49755.80,
2003-10-30 18:33:00.000,14917.80,1627.50,49790.20,
2003-10-30 18:34:00.000,14971.00,1642.40,49823.60,
2003-10-30 18:35:00.000,15020.10,1662.00,49859.50,
2003-10-30 18:36:00.000,15005.80,1671.50,49856.30,
2003-10-30 18:37:00.000,15003.70,1679.40,49847.30,
2003-10-30 18:38:00.000,15008.80,1678.50,49846.50,
2003-10-30 18:39:00.000,15001.30,1675.40,49838.70,
2003-10-30 18:40:00.000,14997.20,1686.40,49837.20,
2003-10-30 18:41:00.000,14991.10,1694.20,49831.10,
2003-10-30 18:42:00.000,14971.10,1699.50,49809.00,
2003-10-30 18:43:00.000,14965.70,1693.20,49792.40,
2003-10-30 18:44:00.000,14954.20,1706.00,49797.80,
2003-10-30 18:45:00.000,14938.60,1721.50,49799.10,
2003-10-30 18:46:00.000,14922.50,1735.80,49790.60,
2003-10-30 18:47:00.000,14906.00,1741.30,49778.20,
2003-10-30 18:48:00.000,14875.30,1729.40,49757.80,
2003-10-30 18:49:00.000,14864.70,1719.30,49747.80,
2003-10-30 18:50:00.000,14864.00,1712.20,49736.80,
2003-10-30 18:51:00.000,14887.20,1700.00,49723.20,
2003-10-30 18:52:00.000,14896.70,1695.40,49714.50,
2003-10-30 18:53:00.000,14880.10,1692.70,49703.60,
2003-10-30 18:54:00.000,14844.90,1680.40,49681.70,
2003-10-30 18:55:00.000,14826.80,1670.80,49661.10,
2003-10-30 18:56:00.000,14810.00,1680.10,49657.50,
2003-10-30 18:57:00.000,14804.60,1691.40,49658.00,
2003-10-30 18:58:00.000,14825.20,1704.70,49664.40,
2003-10-30 18:59:00.000,14868.10,1708.70,49664.30,
2003-10-30 19:00:00.000,14873.60,1714.90,49650.20,
2003-10-30 19:01:00.000,14892.10,1716.50,49645.20,
2003-10-30 19:02:00.000,14873.50,1717.70,49638.40,
2003-10-30 19:03:00.000,14837.00,1730.50,49612.10,
2003-10-30 19:04:00.000,14801.30,1748.40,49582.90,
2003-10-30 19:05:00.000,14777.20,1760.00,49570.10,
2003-10-30 19:06:00.000,14740.70,1777.30,49564.80,
2003-10-30 19:07:00.000,14726.40,1792.40,49556.00,
2003-10-30 19:08:00.000,14708.10,1801.70,49544.40,
2003-10-30 19:09:00.000,14714.90,1809.70,49534.50,
2003-10-30 19:10:00.000,14704.70,1809.50,49522.50,
2003-10-30 19:11:00.000,14675.70,1810.60,49500.20,
2003-10-30 19:12:00.000,14659.20,1808.60,49472.50,
2003-10-30 19:13:00.000,14657.80,1789.00,49449.80,
2003-10-30 19:14:00.000,14656.70,1776.40,49433.70,
2003-10-30 19:15:00.000,14681.60,1743.90,49422.30,
2003-10-30 19:16:00.000,14652.00,1721.10,49400.10,
2003-10-30 19:17:00.000,14641.40,1704.80,49387.50,
2003-10-30 19:18:00.000,14557.60,1698.90,49335.00,
2003-10-30 19:19:00.000,14426.20,1690.80,49244.10,
