time,Bx,By,Bz,
2003-10-30 01:29:00.000,13823.90,1933.80,49103.40,
2003-10-30 01:30:00.000,13678.10,1918.30,49107.00,
2003-10-30 01:31:00.000,13667.00,1903.40,49104.40,
2003-10-30 01:32:00.000,13805.90,1912.10,49110.30,
2003-10-30 01:33:00.000,13859.40,1811.90,49164.20,
2003-10-30 01:34:00.000,13962.60,1742.70,49137.10,
2003-10-30 01:35:00.000,14067.70,1660.70,49101.20,
2003-10-30 01:36:00.000,14185.30,1676.40,49152.20,
2003-10-30 01:37:00.000,14314.50,1701.60,49190.80,
2003-10-30 01:38:00.000,14378.60,1739.00,49171.60,
2003-10-30 01:39:00.000,14374.20,1748.50,49125.70,
2003-10-30 01:40:00.000,14344.80,1730.60,49086.00,
2003-10-30 01:41:00.000,14341.10,1735.90,49040.30,
2003-10-30 01:42:00.000,14351.20,1724.60,48993.20,
2003-10-30 01:43:00.000,14318.30,1734.60,48986.60,
2003-10-30 01:44:00.000,14449.90,1686.40,48982.90,
2003-10-30 01:45:00.000,14437.10,1671.60,48973.90,
2003-10-30 01:46:00.000,14503.90,1638.90,49015.00,
2003-10-30 01:47:00.000,14465.10,1669.90,49017.90,
2003-10-30 01:48:00.000,14499.60,1680.40,49003.90,
2003-10-30 01:49:00.000,14439.40,1693.70,48974.30,
2003-10-30 01:50:00.000,14364.00,1696.40,48919.80,
2003-10-30 01:51:00.000,14370.10,1688.70,48878.40,
2003-10-30 01:52:00.000,14364.70,1690.40,48840.70,
2003-10-30 01:53:00.000,14431.00,1662.50,48873.30,
2003-10-30 01:54:00.000,14444.70,1653.60,48889.70,
2003-10-30 01:55:00.000,14413.50,1631.20,48880.80,
2003-10-30 01:56:00.000,14372.80,1643.00,48884.50,
2003-10-30 01:57:00.000,14436.30,1642.70,48901.50,
2003-10-30 01:58:00.000,14334.50,1643.50,48874.90,
2003-10-30 01:59:00.000,14292.90,1655.90,48836.80,
2003-10-30 02:00:00.000,14298.10,1646.70,48837.10,
2003-10-30 02:01:00.000,14284.40,1635.20,48854.50,
2003-10-30 02:02:00.000,14217.30,1636.50,48877.00,
2003-10-30 02:03:00.000,14131.50,1623.10,48875.10,
2003-10-30 02:04:00.000,14044.10,1590.70,48852.30,
2003-10-30 02:05:00.000,14042.30,1564.20,48863.50,
2003-10-30 02:06:00.000,14080.10,1538.90,48869.50,
2003-10-30 02:07:00.000,14088.80,1488.10,48844.10,
2003-10-30 02:08:00.000,14108.80,1456.50,48829.30,
2003-10-30 02:09:00.000,14160.10,1498.80,48855.90,
2003-10-30 02:10:00.000,14219.50,1525.30,48910.50,
2003-10-30 02:11:00.000,14247.00,1550.20,48915.10,
2003-10-30 02:12:00.000,14260.40,1560.40,48923.50,
2003-10-30 02:13:00.000,14261.20,1585.80,48928.90,
2003-10-30 02:14:00.000,14310.90,1615.20,48972.90,
2003-10-30 02:15:00.000,14278.20,1635.40,48985.20,
2003-10-30 02:16:00.000,14255.80,1669.30,49003.90,
2003-10-30 02:17:00.000,14275.80,1664.10,49045.50,
2003-10-30 02:18:00.000,14353.30,1681.50,49095.50,
2003-10-30 02:19:00.000,14428.90,1692.20,49114.10,
2003-10-30 02:20:00.000,14443.30,1696.00,49117.00,
2003-10-30 02:21:00.000,14496.90,1680.80,49126.90,
2003-10-30 02:22:00.000,14554.40,1623.90,49109.50,
2003-10-30 02:23:00.000,14527.60,1597.20,49056.80,
2003-10-30 02:24:00.000,14495.60,1580.20,49023.50,
2003-10-30 02:25:00.000,14491.40,1579.40,49024.40,
2003-10-30 02:26:00.000,14467.20,1578.10,49024.00,
2003-10-30 02:27:00.000,14354.60,1595.20,48994.40,
2003-10-30 02:28:00.000,14326.80,1615.80,48982.60,
2003-10-30 02:29:00.000,14362.10,1612.40,48991.30,
2003-10-30 02:30:00.000,14366.30,1608.30,49012.90,
2003-10-30 02:31:00.000,14404.40,1596.60,49017.60,
2003-10-30 02:32:00.000,14410.30,1583.50,49024.20,
2003-10-30 02:33:00.000,14411.60,1575.70,49014.10,
2003-10-30 02:34:00.000,14414.00,1575.50,49016.20,
2003-10-30 02:35:00.000,14409.90,1595.30,49026.70,
2003-10-30 02:36:00.000,14429.60,1634.40,49050.70,
2003-10-30 02:37:00.000,14394.70,1687.70,49009.80,
2003-10-30 02:38:00.000,14432.90,1703.30,49004.00,
2003-10-30 02:39:00.000,14396.60,1669.10,49009.50,
2003-10-30 02:40:00.000,14339.60,1689.90,48982.90,
2003-10-30 02:41:00.000,14264.10,1713.80,48953.00,
2003-10-30 02:42:00.000,14247.40,1710.60,48925.30,
2003-10-30 02:43:00.000,14252.60,1703.30,48902.10,
2003-10-30 02:44:00.000,14272.50,1703.10,48886.10,
2003-10-30 02:45:00.000,14231.00,1702.00,48876.70,
2003-10-30 02:46:00.000,14262.90,1709.20,48891.90,
2003-10-30 02:47:00.000,14259.80,1710.60,48908.60,
2003-10-30 02:48:00.000,14196.30,1675.40,48880.50,
2003-10-30 02:49:00.000,14305.30,1643.50,48938.70,
2003-10-30 02:50:00.000,14525.80,1632.70,49053.30,
2003-10-30 02:51:00.000,14546.70,1651.50,49117.70,
2003-10-30 02:52:00.000,14471.60,1686.80,49122.20,
2003-10-30 02:53:00.000,14375.50,1723.90,49093.00,
2003-10-30 02:54:00.000,14449.50,1679.00,49101.40,
2003-10-30 02:55:00.000,14431.50,1678.20,49092.20,
2003-10-30 02:56:00.000,14403.10,1682.70,49079.70,
2003-10-30 02:57:00.000,14385.80,1669.20,49077.30,
2003-10-30 02:58:00.000,14405.40,1699.70,49103.50,
2003-10-30 02:59:00.000,14334.30,1753.10,49101.10,
2003-10-30 03:00:00.000,14247.60,1774.60,49046.40,
2003-10-30 03:01:00.000,14370.00,1754.30,49107.10,
2003-10-30 03:02:00.000,14376.30,1775.00,49130.50,
2003-10-30 03:03:00.000,14358.60,1736.30,49116.20,
2003-10-30 03:04:00.000,14276.60,1782.00,49161.80,
2003-10-30 03:05:00.000,14389.00,1751.80,49183.60,
2003-10-30 03:06:00.000,14452.20,1740.50,49197.60,
2003-10-30 03:07:00.000,14598.60,1714.10,49243.10,
2003-10-30 03:08:00.000,14544.80,1684.10,49252.50,
2003-10-30 03:09:00.000,14459.30,1694.50,49250.10,
2003-10-30 03:10:00.000,14510.50,1690.70,49269.70,
2003-10-30 03:11:00.000,14522.70,1686.80,49280.50,
2003-10-30 03:12:00.000,14559.20,1665.10,49292.00,
2003-10-30 03:13:00.000,14472.70,1659.40,49276.20,
2003-10-30 03:14:00.000,14379.80,1669.80,49229.00,
2003-10-30 03:15:00.000,14440.40,1692.10,49230.80,
2003-10-30 03:16:00.000,14482.20,1674.90,49248.00,
2003-10-30 03:17:00.000,14443.80,1667.40,49248.00,
2003-10-30 03:18:00.000,14369.90,1696.20,49225.30,
2003-10-30 03:19:00.000,14413.60,1715.30,49225.40,
2003-10-30 03:20:00.000,14505.30,1697.80,49265.50,
2003-10-30 03:21:00.000,14480.10,1725.00,49308.90,
2003-10-30 03:22:00.000,14489.60,1752.40,49306.00,
2003-10-30 03:23:00.000,14583.50,1734.00,49323.10,
2003-10-30 03:24:00.000,14572.30,1740.90,49357.80,
2003-10-30 03:25:00.000,14522.90,1762.60,49365.60,
2003-10-30 03:26:00.000,14570.50,1751.40,49354.20,
2003-10-30 03:27:00.000,14623.10,1724.30,49379.90,
2003-10-30 03:28:00.000,14545.40,1732.40,49399.70,
2003-10-30 03:29:00.000,14522.00,1735.80,49402.60,
2003-10-30 03:30:00.000,14587.90,1729.90,49432.90,
2003-10-30 03:31:00.000,14585.00,1714.00,49458.40,
2003-10-30 03:32:00.000,14596.00,1722.50,49481.40,
2003-10-30 03:33:00.000,14688.10,1713.00,49503.30,
2003-10-30 03:34:00.000,14695.40,1708.60,49513.60,
2003-10-30 03:35:00.000,14671.40,1708.80,49512.80,
2003-10-30 03:36:00.000,14708.60,1708.90,49515.00,
